"Species","Tree_Type","Tree_Count","size_class","Site_ID","Plot_ID","Country","Organization_Name","SiteType","Plot_Type","Plot_Size","tree_index","main_index","_parent_table_name","origin_table","Plot_Permanence","Resample_Main_Plot","Resample_3x3_Subplot","PlantingPattern","Timeframe"
"Trachylobium verrucosum","planted",1,"<10cm planted","1869","S0126MP3","Madagascar","Taotsara","Restoration","Restoration","1x1",153,845,"main","Nested_1x1","Permanent","0","0","2*2","Y0"
"Intsia bijuga","planted",1,"<10cm planted","1862","S0119MP4","Madagascar","Taotsara","Restoration","Restoration","1x1",154,851,"main","Nested_1x1","Permanent","0","0","2*2","Y0"
NA,"Present",NA,"<1cm","1851","S0108MP12","Madagascar","Taotsara","Restoration","Restoration","1x1",155,858,"main","Nested_1x1","Permanent","0","2","5m*5m","Y0"
"Pachytrophe obovota","Present",1,"<1cm","1849","S0106MP2","Madagascar","Taotsara","Restoration","Restoration","1x1",156,877,"main","Nested_1x1","Permanent","0","0","2 m sur 2 m","Y0"
NA,"don_t_know",NA,"<1cm","1831","S0088MP2","Madagascar","Taotsara","Restoration","Restoration","1x1",157,883,"main","Nested_1x1","Permanent","0","0","2*2","Y0"
"Trema orientalis","Present",1,"<1cm","1840","S0097MP08","Madagascar","Taotsara","Restoration","Restoration","1x1",158,888,"main","Nested_1x1","Permanent","2","2","Trees were planted with a 6m by 3m spacing","Y0"
"Nuxia capitata","Present",1,"<1cm","1840","S0097MP09","Madagascar","Taotsara","Restoration","Restoration","1x1",159,896,"main","Nested_1x1","Permanent","2","2","Trees were planted with a 6m by 3m spacing","Y0"
"Albizia gummifera","Present",1,"<1cm","1840","S0097MP12","Madagascar","Taotsara","Restoration","Restoration","1x1",160,899,"main","Nested_1x1","Permanent","2","2","Trees were planted with a 6m by 3m spacing","Y0"
"Trema orientalis","Present",1,"<1cm","1840","S0097MP12","Madagascar","Taotsara","Restoration","Restoration","1x1",161,899,"main","Nested_1x1","Permanent","2","2","Trees were planted with a 6m by 3m spacing","Y0"
"Fandridambo","Present",1,"<1cm","1851","S0108","Madagascar","Taotsara","Restoration","Restoration","1x1",162,926,"main","Nested_1x1","Permanent","0","2","5m*5m","Y0"
"Tina gelonium","Present",1,"<1cm","1836","S0093MP12","Madagascar","Taotsara","Restoration","Restoration","1x1",163,928,"main","Nested_1x1","Permanent","2","0","Trees were planted with a 10m by 10m spacing.","Y0"
"Nuxia capitata","Present",1,"<1cm","1836","S0093MP12","Madagascar","Taotsara","Restoration","Restoration","1x1",164,928,"main","Nested_1x1","Permanent","2","0","Trees were planted with a 10m by 10m spacing.","Y0"
"Intsia bijuga","planted",1,"<10cm planted","1862","S0119MP5","Madagascar","Taotsara","Restoration","Restoration","1x1",165,946,"main","Nested_1x1","Permanent","0","0","2*2","Y0"
"Coffea arabica","planted",1,"<10cm planted","1851","S0108MP33","Madagascar","Taotsara","Restoration","Restoration","1x1",166,953,"main","Nested_1x1","Permanent","2","2","Trees were planted with a 6m by 3m spacing.","Y0"
"Tina gelonium","Present",1,"<1cm","1840","S0097MP02","Madagascar","Taotsara","Restoration","Restoration","1x1",167,957,"main","Nested_1x1","Permanent","2","2","Trees were planted with a 6m by 3m spacing.","Y0"
