"","submitted_name","matched_name2","user_supplied_name","data_source_title","score","genus_name","family_data_out"
"187","Platanus mexicana moric","Platanus mexicana","Platanus mexicana moric","Tropicos - Missouri Botanical Garden","0.988","Platanus","Platanaceae"
"188","Platanus mexicana moric","Platanus mexicana","Platanus mexicana moric","Tropicos - Missouri Botanical Garden","0.988","Platanus","Platanaceae"
"189","Platanus mexicana moric","Platanus mexicana","Platanus mexicana moric","Tropicos - Missouri Botanical Garden","0.988","Platanus","Platanaceae"
"190","Platanus mexicana moric","Platanus mexicana","Platanus mexicana moric","Tropicos - Missouri Botanical Garden","0.988","Platanus","Platanaceae"
"191","Pometia pinnata","Pometia pinnata","Pometia pinnata","Tropicos - Missouri Botanical Garden","0.988","Pometia","Sapindaceae"
"192","Populis","PopulUs",NA,NA,NA,"PopulUs","Salicaceae"
"193","Populus","Populus","Populus","The International Plant Names Index","0.75","Populus","Salicaceae"
"194","Populus sp","Populus","Populus sp","Tropicos - Missouri Botanical Garden","0.75","Populus","Salicaceae"
"195","Presea cuerulea","Persea caerulea",NA,NA,NA,"Persea","Lauraceae"
"196","Prunus avium","Prunus avium","Prunus avium","Tropicos - Missouri Botanical Garden","0.988","Prunus","Rosaceae"
"197","Psidium guajava","Psidium guajava","Psidium guajava","Tropicos - Missouri Botanical Garden","0.988","Psidium","Myrtaceae"
"198","Psidium guajava","Psidium guajava","Psidium guajava","Tropicos - Missouri Botanical Garden","0.988","Psidium","Myrtaceae"
"199","Psidium guajava","Psidium guajava","Psidium guajava","Tropicos - Missouri Botanical Garden","0.988","Psidium","Myrtaceae"
