OBJECTID *,Shape *,Site_ID,Country,Org_Name,Site_Name,MERGE_SRC,Site Area (ha),Shape_Length,Shape_Area
24,Polygon ZM,null,Guatemala,FEDECOVERA,"Cooperativa Agricola Integral Semarac, RL",SITIOS_FEDECOVERA_CleanInput,22.0236,0.048995,0.000019
25,Polygon ZM,null,Guatemala,FEDECOVERA,"Cooperativa Integral Agricola Actela, RL",SITIOS_FEDECOVERA_CleanInput,147.5791,0.143003,0.000124
26,Polygon ZM,null,Guatemala,FEDECOVERA,"Cooperativa Integral Agricola Camelias, RL",SITIOS_FEDECOVERA_CleanInput,42.7148,0.163432,0.000036
27,Polygon ZM,null,Guatemala,FEDECOVERA,"Cooperativa Integral Agricola Concepcion Secuachil, RL",SITIOS_FEDECOVERA_CleanInput,53.2108,0.217196,0.000045
28,Polygon ZM,null,Guatemala,FEDECOVERA,"Cooperativa Integral Agricola Las Nubes, RL",SITIOS_FEDECOVERA_CleanInput,92.8441,0.11869,0.000078
29,Polygon ZM,null,Guatemala,FEDECOVERA,"Cooperativa Integral Agricola Vista al Valle, RL",SITIOS_FEDECOVERA_CleanInput,208.1113,0.23223,0.000175
30,Polygon ZM,273,India,Grow Trees India,Bankuchiya,PPCTier2and3_Update072323_Clean,148.0741,0.154333,0.00013
31,Polygon ZM,282,India,Grow Trees India,Deghi,PPCTier2and3_Update072323_Clean,24.865,0.072551,0.000022
32,Polygon ZM,283,India,Grow Trees India,Gobarghusi,PPCTier2and3_Update072323_Clean,3.3502,0.013668,0.000003
33,Polygon ZM,354,India,Grow Trees India,Jorsya,PPCTier2and3_Update072323_Clean,36.4254,0.067676,0.000032
34,Polygon ZM,355,India,Grow Trees India,Lachipur,PPCTier2and3_Update072323_Clean,33.2125,0.091584,0.000029
35,Polygon ZM,356,India,Grow Trees India,Lawa,PPCTier2and3_Update072323_Clean,38.9771,0.088019,0.000034
36,Polygon ZM,284,India,Grow Trees India,Mahulbana,PPCTier2and3_Update072323_Clean,43.0525,0.080401,0.000038
37,Polygon ZM,281,India,Grow Trees India,Oriya,PPCTier2and3_Update072323_Clean,55.9474,0.074188,0.000049
38,Polygon ZM,285,India,Grow Trees India,Patamda,PPCTier2and3_Update072323_Clean,2.9461,0.018027,0.000003
39,Polygon ZM,530,Kenya,Greenbelt Movement,Kilala Forest Proposed Planting site 1,C:\Users\tesfay.woldemariam\Documents\ArcGIS\TerraMatch\PPCGlobal\PPCGlobal\PPCGlobal.gdb\PPCKenyaGBM_Merge_101123_Clean,40.0896,0.03071,0.000033
40,Polygon ZM,"2,238",Kenya,Greenbelt Movement,Makongo forest,C:\Users\tesfay.woldemariam\Documents\ArcGIS\TerraMatch\PPCGlobal\PPCGlobal\PPCGlobal.gdb\PPCKenyaGBM_Merge_101123_Clean,37.4658,0.04905,0.00003
41,Polygon ZM,21,Kenya,Greenbelt Movement,Nzaui Forest Site,C:\Users\tesfay.woldemariam\Documents\ArcGIS\TerraMatch\PPCGlobal\PPCGlobal\PPCGlobal.gdb\PPCKenyaGBM_Merge_101123_Clean,15.5047,0.02408,0.000013
42,Polygon ZM,537,Kenya,Greenbelt Movement,Nzueni Forest Proposed Planting site,C:\Users\tesfay.woldemariam\Documents\ArcGIS\TerraMatch\PPCGlobal\PPCGlobal\PPCGlobal.gdb\PPCKenyaGBM_Merge_101123_Clean,35.5513,0.028166,0.000029
43,Polygon ZM,"1,744",Madagascar,CI Madagascar,S0001,MADAGASCAR_CleanInput,6.88,0.015009,0.000006
