"Organization_Name","Site_ID","size_class","Already Present","Planted","Unknown"
"Taotsara","1879","1 - 9.9cm",128.111111111111,NA,NA
"Taotsara","1879",">10cm",0.854074074074074,NA,NA
"Taotsara","1879","<10cm planted",NA,5.12444444444444,NA
"Taotsara","1880","1 - 9.9cm",586.126126126126,NA,NA
"Taotsara","1880",">10cm",93.7801801801802,NA,NA
"Taotsara","1880","<10cm planted",NA,4026.68648648649,NA
"Taotsara","1881","1 - 9.9cm",6604.19298245614,NA,NA
"Taotsara","1881","<10cm planted",NA,10755.4,NA
"Taotsara","1882","1 - 9.9cm",5197.59459459459,NA,NA
"Taotsara","1882","<1cm",347496.324324324,NA,NA
"Taotsara","1882",">10cm",9.90018018018018,NA,NA
"Taotsara","1882","<10cm planted",NA,5836.15621621622,NA
"Taotsara","1883","<10cm planted",NA,1637.77777777778,NA
"Taotsara","1884","<10cm planted",NA,23069.3333333333,NA
"Taotsara","1886","<10cm planted",NA,2.28444444444444,NA
"Taotsara","1887","<10cm planted",NA,17.1111111111111,NA
"Taotsara","1888","1 - 9.9cm",1107.64021164021,NA,NA
"Taotsara","1888",">10cm",95.5339682539683,NA,NA
"Taotsara","1888","<10cm planted",NA,195.221587301587,NA
"Taotsara","1889","<10cm planted",NA,829.426326129666,NA
"Taotsara","1890","1 - 9.9cm",3056.09522506499,NA,611.219045012998
"Taotsara","1890",">10cm",4.07479363341998,NA,6.11219045012998
"Taotsara","1890","<10cm planted",NA,3496.17293747435,NA
"Taotsara","1891","1 - 9.9cm",57672.1576692374,NA,NA
"Taotsara","1891",">10cm",125.097694944302,NA,NA
"Taotsara","1891","<10cm planted",NA,70415.1601542416,NA
"Taotsara","1892",">1cm",8342.04734911637,NA,NA
"Taotsara","1892","<10cm planted",NA,41459.9753251084,NA
"Taotsara","1895","<10cm planted",NA,29345.338894682,NA
