"","submitted_name","matched_name2","user_supplied_name","data_source_title","score","genus_name","family_data_out"
"170","Mphangala","NA",NA,NA,NA,NA,NA
"171","msambafumu","NA",NA,NA,NA,NA,NA
"172","Msambafumu","NA",NA,NA,NA,NA,NA
"173","Msangu","NA",NA,NA,NA,NA,NA
"174","Msolo","NA",NA,NA,NA,NA,NA
"175","Msuku","NA",NA,NA,NA,NA,NA
"176","Mtanthanyelere","NA",NA,NA,NA,NA,NA
"177","Mthethe","NA",NA,NA,NA,NA,NA
"178","mtondo","NA",NA,NA,NA,NA,NA
"179","Mtondo","NA",NA,NA,NA,NA,NA
"180","Muula","NA",NA,NA,NA,NA,NA
"181","Muwula","NA",NA,NA,NA,NA,NA
"182","Mwavi","NA",NA,NA,NA,NA,NA
"183","Néant","NA",NA,NA,NA,NA,NA
"184","Nkhadzi","NA",NA,NA,NA,NA,NA
