"Organization_Name","Site_ID","size_class.x","count_Y0","size_class.y","count_Y25","size_class","count_Y5","restored_Y25","restored_Y5"
"CUCOS","1519","1 - 9.9cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1519",">10cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1530","1 - 9.9cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1530",">10cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1531","1 - 9.9cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1531",">10cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1532","1 - 9.9cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1532",">10cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1533","1 - 9.9cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1533",">10cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1534","1 - 9.9cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1534",">10cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1535","1 - 9.9cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1535",">10cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1537","1 - 9.9cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1537",">10cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1538",">10cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1542","1 - 9.9cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1542",">10cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1549","1 - 9.9cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1549",">10cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1554","1 - 9.9cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1554",">10cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1555","1 - 9.9cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1555",">10cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1561","1 - 9.9cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1561",">10cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1570","1 - 9.9cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1570",">10cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1571","1 - 9.9cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1571",">10cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1573","1 - 9.9cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1573",">10cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1574","1 - 9.9cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1574",">10cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1575","1 - 9.9cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1575",">10cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1577","1 - 9.9cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1577",">10cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1578","1 - 9.9cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1578",">10cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1579","1 - 9.9cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1579",">10cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1580",">10cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1588","1 - 9.9cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1588",">10cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1590","1 - 9.9cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1590",">10cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1591",">10cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1593","1 - 9.9cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1593",">10cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1594",">10cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1595","1 - 9.9cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1595",">10cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1596
","1 - 9.9cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1596
",">10cm",NA,NA,NA,NA,NA,NA,NA
